ID,Company,Role,Job Description
65,Voltas,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
66,TCS,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
67,Infosys,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
68,Amazon India,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
69,Freshworks,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
70,Havells,Sales Field Intern,"Sales, Marketing, Consumer Durable"
71,Voltas,Sales Field Intern,"sales, Marketing, Consumer Durable"
72,Voltas,Sales Field Intern,"Sales, Marketing, Consumer Durable"
73,Voltas,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
74,Accenture,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
75,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
76,Hyatt,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
77,LG Electronics,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
78,IBM India,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
79,Tech Mahindra,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
80,Amazon India,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
81,Zoho,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
82,Reliance Retail,Sales Field Intern,"Sales, Marketing, Consumer Durable"
83,Reliance Retail,Sales Field Intern,"sales, Marketing, Consumer Durable"
84,Voltas,Sales Field Intern,"Sales, Marketing, Consumer Durable"
85,LG Electronics,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
86,Infosys,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
87,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
88,Hyatt,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
89,Reliance Retail,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
90,Google India,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
91,TCS,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
92,Amazon India,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
93,Zoho,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
94,Voltas,Sales Field Intern,"Sales, Marketing, Consumer Durable"
95,Crompton,Sales Field Intern,"sales, Marketing, Consumer Durable"
96,Reliance Retail,Sales Field Intern,"Sales, Marketing, Consumer Durable"
97,LG Electronics,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
98,Accenture,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
99,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
100,Marriott,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
101,Havells,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
102,TCS,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
103,TCS,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
104,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
105,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
106,Samsung India,Sales Field Intern,"Sales, Marketing, Consumer Durable"
107,Havells,Sales Field Intern,"sales, Marketing, Consumer Durable"
108,Samsung India,Sales Field Intern,"Sales, Marketing, Consumer Durable"
109,Voltas,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
110,Wipro,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
111,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
112,Taj Hotels,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
113,LG Electronics,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
114,TCS,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
115,Infosys,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
116,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
117,Amazon India,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
118,Havells,Sales Field Intern,"Sales, Marketing, Consumer Durable"
119,Reliance Retail,Sales Field Intern,"sales, Marketing, Consumer Durable"
120,Havells,Sales Field Intern,"Sales, Marketing, Consumer Durable"
121,Voltas,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
122,Infosys,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
123,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
124,Marriott,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
125,Godrej,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
126,Google India,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
127,L&T,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
128,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
129,Zoho,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
131,Voltas,Sales Field Intern,"sales, Marketing, Consumer Durable"
132,Samsung India,Sales Field Intern,"Sales, Marketing, Consumer Durable"
133,Samsung India,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
134,TCS,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
135,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
136,ITC Hotels,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
137,Havells,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
138,Infosys,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
139,TCS,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
140,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
141,Freshworks,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
142,Havells,Sales Field Intern,"Sales, Marketing, Consumer Durable"
143,Samsung India,Sales Field Intern,"sales, Marketing, Consumer Durable"
144,LG Electronics,Sales Field Intern,"Sales, Marketing, Consumer Durable"
145,Reliance Retail,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
146,Infosys,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
147,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
149,Godrej,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
150,Microsoft India,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
151,L&T,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
152,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
153,Freshworks,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
154,Voltas,Sales Field Intern,"Sales, Marketing, Consumer Durable"
155,Reliance Retail,Sales Field Intern,"sales, Marketing, Consumer Durable"
156,Samsung India,Sales Field Intern,"Sales, Marketing, Consumer Durable"
157,Voltas,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
158,Accenture,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
159,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
160,Hyatt,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
161,Samsung India,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
162,TCS,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
163,Tech Mahindra,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
164,Freshworks,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
165,Flipkart,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
166,Samsung India,Sales Field Intern,"Sales, Marketing, Consumer Durable"
167,Reliance Retail,Sales Field Intern,"sales, Marketing, Consumer Durable"
168,Crompton,Sales Field Intern,"Sales, Marketing, Consumer Durable"
169,Crompton,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
170,Cognizant,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
171,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
172,Hyatt,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
173,LG Electronics,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
174,Infosys,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
175,HCL Technologies,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
176,Freshworks,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
177,Freshworks,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
178,Reliance Retail,Sales Field Intern,"Sales, Marketing, Consumer Durable"
179,Godrej,Sales Field Intern,"sales, Marketing, Consumer Durable"
180,Crompton,Sales Field Intern,"Sales, Marketing, Consumer Durable"
181,Samsung India,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
182,Accenture,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
183,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
184,Oberoi Hotels,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
185,Havells,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
186,IBM India,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
187,Tech Mahindra,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
188,Zoho,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
189,Flipkart,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
190,LG Electronics,Sales Field Intern,"Sales, Marketing, Consumer Durable"
191,Godrej,Sales Field Intern,"sales, Marketing, Consumer Durable"
192,Havells,Sales Field Intern,"Sales, Marketing, Consumer Durable"
193,Godrej,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
194,Cognizant,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
195,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
196,Marriott,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
197,Samsung India,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
198,Microsoft India,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
199,L&T,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
200,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
201,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
202,LG Electronics,Sales Field Intern,"Sales, Marketing, Consumer Durable"
203,Crompton,Sales Field Intern,"sales, Marketing, Consumer Durable"
204,Voltas,Sales Field Intern,"Sales, Marketing, Consumer Durable"
205,Samsung India,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
